log file,instance id,domain class,search algorithm,plan length,vanilla repair length,vanilla repair,goal reached,iteration,num nodes generated,h_max,sum h cost,sum f cost,sum h cost time,sum grounding time,search time,search g cost,search repair set,repair length comparison,repair string comparison,error message,error group,lift_prob,grounding method
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/tetris-opt14-strips__pp03-4-err-rate-0-5.yaml,tetris-opt14-strips__pp03-4-err-rate-0-5,tetris-opt14-strips,bfs,10,0,,False,,,,,,,,,,,,,"{'error_type': 'MemoryError', 'error_message': ""Command '['/home/projects/u7899572/conda-envs/main/bin/python3', 'instance_solver.py', 'bfs', '/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1', '/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/tetris-opt14-strips__pp03-4-err-rate-0-5.yaml', '1000000', 'tetris-opt14-strips__pp03-4-err-rate-0-5', '0.66', 'unary']' died with <Signals.SIGABRT: 6>."", 'stack_trace': 'Traceback (most recent call last):\n  File ""batch_solver.py"", line 126, in worker\n    result = subprocess.run(cmd, check=True, timeout=params[\'timeout_seconds\'],\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/subprocess.py"", line 516, in run\n    raise CalledProcessError(retcode, process.args,\nsubprocess.CalledProcessError: Command \'[\'/home/projects/u7899572/conda-envs/main/bin/python3\', \'instance_solver.py\', \'bfs\', \'/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1\', \'/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/tetris-opt14-strips__pp03-4-err-rate-0-5.yaml\', \'1000000\', \'tetris-opt14-strips__pp03-4-err-rate-0-5\', \'0.66\', \'unary\']\' died with <Signals.SIGABRT: 6>.\n', 'instance_id': 'tetris-opt14-strips__pp03-4-err-rate-0-5', 'process_info': {'cmd': ['/home/projects/u7899572/conda-envs/main/bin/python3', 'instance_solver.py', 'bfs', '/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1', '/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/tetris-opt14-strips__pp03-4-err-rate-0-5.yaml', '1000000', 'tetris-opt14-strips__pp03-4-err-rate-0-5', '0.66', 'unary'], 'duration': '589.29', 'python_executable': '/home/projects/u7899572/conda-envs/main/bin/python3'}, 'stdout': '', 'stderr': ""terminate called after throwing an instance of 'Minisat22::OutOfMemoryException'\n""}",memory,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/hiking-opt14-strips__pptesting-2-4-3-err-rate-0-1.yaml,hiking-opt14-strips__pptesting-2-4-3-err-rate-0-1,hiking-opt14-strips,bfs,10,0,,False,,,,,,,,,,,,,Subprocess timed out after 900 seconds.,time,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/scanalyzer-opt11-strips__pp02-err-rate-0-1.yaml,scanalyzer-opt11-strips__pp02-err-rate-0-1,scanalyzer-opt11-strips,bfs,14,1,"analyze-2,(cycle-2-with-analysis ?s2 ?s2),precPos,-1",False,,,,,,,,,,,,,Subprocess timed out after 900 seconds.,time,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/grid__pprob01-err-rate-0-1.yaml,grid__pprob01-err-rate-0-1,grid,bfs,14,0,,False,,,,,,,,,,,,,Subprocess timed out after 900 seconds.,time,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/mprime__pprob09-err-rate-0-5.yaml,mprime__pprob09-err-rate-0-5,mprime,bfs,11,0,,False,,,,,,,,,,,,,"{'error_type': 'MemoryError', 'error_message': ""Command '['/home/projects/u7899572/conda-envs/main/bin/python3', 'instance_solver.py', 'bfs', '/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1', '/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/mprime__pprob09-err-rate-0-5.yaml', '1000000', 'mprime__pprob09-err-rate-0-5', '0.66', 'unary']' died with <Signals.SIGABRT: 6>."", 'stack_trace': 'Traceback (most recent call last):\n  File ""batch_solver.py"", line 126, in worker\n    result = subprocess.run(cmd, check=True, timeout=params[\'timeout_seconds\'],\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/subprocess.py"", line 516, in run\n    raise CalledProcessError(retcode, process.args,\nsubprocess.CalledProcessError: Command \'[\'/home/projects/u7899572/conda-envs/main/bin/python3\', \'instance_solver.py\', \'bfs\', \'/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1\', \'/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/mprime__pprob09-err-rate-0-5.yaml\', \'1000000\', \'mprime__pprob09-err-rate-0-5\', \'0.66\', \'unary\']\' died with <Signals.SIGABRT: 6>.\n', 'instance_id': 'mprime__pprob09-err-rate-0-5', 'process_info': {'cmd': ['/home/projects/u7899572/conda-envs/main/bin/python3', 'instance_solver.py', 'bfs', '/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1', '/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/mprime__pprob09-err-rate-0-5.yaml', '1000000', 'mprime__pprob09-err-rate-0-5', '0.66', 'unary'], 'duration': '471.58', 'python_executable': '/home/projects/u7899572/conda-envs/main/bin/python3'}, 'stdout': '', 'stderr': ""terminate called after throwing an instance of 'Minisat22::OutOfMemoryException'\n""}",memory,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/rovers__pp03-err-rate-0-1.yaml,rovers__pp03-err-rate-0-1,rovers,bfs,12,0,,True,207,14625,0,0,37144,0.0,8.88,117.45,0.0,,equal,,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/mprime__pprob35-err-rate-0-3.yaml,mprime__pprob35-err-rate-0-3,mprime,bfs,6,1,"drink,(craves ?n1 ?l13),precPos,-1",False,,,,,,,,,,,,,"{'error_type': 'MemoryError', 'error_message': ""Command '['/home/projects/u7899572/conda-envs/main/bin/python3', 'instance_solver.py', 'bfs', '/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1', '/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/mprime__pprob35-err-rate-0-3.yaml', '1000000', 'mprime__pprob35-err-rate-0-3', '0.66', 'unary']' died with <Signals.SIGABRT: 6>."", 'stack_trace': 'Traceback (most recent call last):\n  File ""batch_solver.py"", line 126, in worker\n    result = subprocess.run(cmd, check=True, timeout=params[\'timeout_seconds\'],\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/subprocess.py"", line 516, in run\n    raise CalledProcessError(retcode, process.args,\nsubprocess.CalledProcessError: Command \'[\'/home/projects/u7899572/conda-envs/main/bin/python3\', \'instance_solver.py\', \'bfs\', \'/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1\', \'/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/mprime__pprob35-err-rate-0-3.yaml\', \'1000000\', \'mprime__pprob35-err-rate-0-3\', \'0.66\', \'unary\']\' died with <Signals.SIGABRT: 6>.\n', 'instance_id': 'mprime__pprob35-err-rate-0-3', 'process_info': {'cmd': ['/home/projects/u7899572/conda-envs/main/bin/python3', 'instance_solver.py', 'bfs', '/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1', '/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/mprime__pprob35-err-rate-0-3.yaml', '1000000', 'mprime__pprob35-err-rate-0-3', '0.66', 'unary'], 'duration': '658.48', 'python_executable': '/home/projects/u7899572/conda-envs/main/bin/python3'}, 'stdout': '', 'stderr': ""terminate called after throwing an instance of 'Minisat22::OutOfMemoryException'\n""}",memory,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/mystery__pprob14-err-rate-0-1.yaml,mystery__pprob14-err-rate-0-1,mystery,bfs,11,0,,False,,,,,,,,9.41,,,,,"An error occurred during A* search: . Stack trace: Traceback (most recent call last):
  File ""instance_solver.py"", line 104, in solve_instance
    searcher.find_path(logger=logger, log_interval=log_interval)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/search_algorithms.py"", line 78, in find_path
    neighbours = current_node.get_neighbors()
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 195, in get_neighbors
    possible_groundings = grounder(domain, task, next_action_pddl)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/lifted_pddl_grounder.py"", line 177, in exhaustive_groundings
    ground_params = list(product(*action_objcet_list))
MemoryError
",memory,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/mprime__pprob20-err-rate-0-3.yaml,mprime__pprob20-err-rate-0-3,mprime,bfs,7,0,,False,,,,,,,,10.14,,,,,"An error occurred during A* search: . Stack trace: Traceback (most recent call last):
  File ""instance_solver.py"", line 104, in solve_instance
    searcher.find_path(logger=logger, log_interval=log_interval)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/search_algorithms.py"", line 78, in find_path
    neighbours = current_node.get_neighbors()
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 195, in get_neighbors
    possible_groundings = grounder(domain, task, next_action_pddl)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/lifted_pddl_grounder.py"", line 177, in exhaustive_groundings
    ground_params = list(product(*action_objcet_list))
MemoryError
",memory,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/mystery__pprob01-err-rate-0-1.yaml,mystery__pprob01-err-rate-0-1,mystery,bfs,5,1,"feast,(harmony ?v ?n2),effPos,1",False,,,,,,,,,,,,,Subprocess timed out after 900 seconds.,time,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/mprime__pprob23-err-rate-0-5.yaml,mprime__pprob23-err-rate-0-5,mprime,bfs,11,1,"drink,(fears ?n1 ?n2),precPos,-1",False,,,,,,,,9.85,,,,,"An error occurred during A* search: . Stack trace: Traceback (most recent call last):
  File ""instance_solver.py"", line 104, in solve_instance
    searcher.find_path(logger=logger, log_interval=log_interval)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/search_algorithms.py"", line 78, in find_path
    neighbours = current_node.get_neighbors()
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 195, in get_neighbors
    possible_groundings = grounder(domain, task, next_action_pddl)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/lifted_pddl_grounder.py"", line 177, in exhaustive_groundings
    ground_params = list(product(*action_objcet_list))
MemoryError
",memory,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/freecell__pprobfreecell-3-5-err-rate-0-3.yaml,freecell__pprobfreecell-3-5-err-rate-0-3,freecell,bfs,14,1,"sendtohome-b,(clear ?homecard),precPos,-1",False,,,,,,,,9.65,,,,,"An error occurred during A* search: . Stack trace: Traceback (most recent call last):
  File ""instance_solver.py"", line 104, in solve_instance
    searcher.find_path(logger=logger, log_interval=log_interval)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/search_algorithms.py"", line 78, in find_path
    neighbours = current_node.get_neighbors()
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 195, in get_neighbors
    possible_groundings = grounder(domain, task, next_action_pddl)
  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/lifted_pddl_grounder.py"", line 177, in exhaustive_groundings
    ground_params = list(product(*action_objcet_list))
MemoryError
",memory,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/pegsol-08-strips__pp04-err-rate-0-3.yaml,pegsol-08-strips__pp04-err-rate-0-3,pegsol-08-strips,bfs,13,1,"end-move,(move-ended ),precPos,-1",False,,,,,,,,,,,,,Subprocess timed out after 900 seconds.,time,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/visitall-opt11-strips__pproblem02-full-err-rate-0-3.yaml,visitall-opt11-strips__pproblem02-full-err-rate-0-3,visitall-opt11-strips,bfs,3,1,"move,(connected ?curpos ?curpos),precPos,-1",True,4,40,0,0,91,0.0,0.06,1.54,1.0,"move,(connected ?curpos ?curpos),precPos,-1",equal,True,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/zenotravel__pp01-err-rate-0-5.yaml,zenotravel__pp01-err-rate-0-5,zenotravel,bfs,1,0,,False,,,,,,,,,,,,,Subprocess timed out after 900 seconds.,time,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/zenotravel__pp02-err-rate-0-3.yaml,zenotravel__pp02-err-rate-0-3,zenotravel,bfs,8,0,,False,,,,,,,,,,,,,"{'error_type': 'MemoryError', 'error_message': ""Command '['/home/projects/u7899572/conda-envs/main/bin/python3', 'instance_solver.py', 'bfs', '/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1', '/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/zenotravel__pp02-err-rate-0-3.yaml', '1000000', 'zenotravel__pp02-err-rate-0-3', '0.66', 'unary']' returned non-zero exit status 1."", 'stack_trace': 'Traceback (most recent call last):\n  File ""batch_solver.py"", line 126, in worker\n    result = subprocess.run(cmd, check=True, timeout=params[\'timeout_seconds\'],\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/subprocess.py"", line 516, in run\n    raise CalledProcessError(retcode, process.args,\nsubprocess.CalledProcessError: Command \'[\'/home/projects/u7899572/conda-envs/main/bin/python3\', \'instance_solver.py\', \'bfs\', \'/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1\', \'/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/zenotravel__pp02-err-rate-0-3.yaml\', \'1000000\', \'zenotravel__pp02-err-rate-0-3\', \'0.66\', \'unary\']\' returned non-zero exit status 1.\n', 'instance_id': 'zenotravel__pp02-err-rate-0-3', 'process_info': {'cmd': ['/home/projects/u7899572/conda-envs/main/bin/python3', 'instance_solver.py', 'bfs', '/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1', '/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/zenotravel__pp02-err-rate-0-3.yaml', '1000000', 'zenotravel__pp02-err-rate-0-3', '0.66', 'unary'], 'duration': '736.81', 'python_executable': '/home/projects/u7899572/conda-envs/main/bin/python3'}, 'stdout': '', 'stderr': 'Traceback (most recent call last):\n  File ""instance_solver.py"", line 104, in solve_instance\n  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/search_algorithms.py"", line 78, in find_path\n  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 213, in get_neighbors\n  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 88, in __init__\n  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/search_partial_grounding/node.py"", line 113, in _ground_repair\n  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/repairer/__init__.py"", line 23, in repair\n  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/hitter/maxsat/__init__.py"", line 18, in top\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/pysat/examples/fm.py"", line 278, in compute\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/pysat/examples/fm.py"", line 295, in _compute\nMemoryError\n\nDuring handling of the above exception, another exception occurred:\n\nTraceback (most recent call last):\n  File ""instance_solver.py"", line 136, in <module>\n  File ""instance_solver.py"", line 107, in solve_instance\n  File ""/home/remote/u7899572/lifted-white-plan-domain-repair/custom_logger.py"", line 44, in log\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/yaml/__init__.py"", line 253, in dump\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/yaml/__init__.py"", line 241, in dump_all\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/yaml/representer.py"", line 28, in represent\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/yaml/serializer.py"", line 54, in serialize\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/yaml/serializer.py"", line 108, in serialize_node\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/yaml/serializer.py"", line 89, in serialize_node\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/yaml/emitter.py"", line 115, in emit\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/yaml/emitter.py"", line 412, in expect_block_mapping_simple_value\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/yaml/emitter.py"", line 244, in expect_node\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/yaml/emitter.py"", line 268, in expect_scalar\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/yaml/emitter.py"", line 525, in process_scalar\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/site-packages/yaml/emitter.py"", line 957, in write_double_quoted\nMemoryError\n'}",memory,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/satellite__pp01-pfile1-err-rate-0-3.yaml,satellite__pp01-pfile1-err-rate-0-3,satellite,bfs,9,0,,False,,,,,,,,,,,,,Subprocess timed out after 900 seconds.,time,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/miconic__ps2-3-err-rate-0-5.yaml,miconic__ps2-3-err-rate-0-5,miconic,bfs,7,1,"up,(equality-op ?f1 ?f1),precPos,-1",True,8,253,0,0,983,0.0,0.11,1.82,1.0,"up,(equality-op ?f1 ?f1),precPos,-1",equal,True,,,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/transport-opt08-strips__pp22-err-rate-0-1.yaml,transport-opt08-strips__pp22-err-rate-0-1,transport-opt08-strips,bfs,12,1,"drop,(at ?p ?l),effPos,1",False,,,,,,,,,,,,,Subprocess timed out after 900 seconds.,time,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/mprime__pprob01-err-rate-0-3.yaml,mprime__pprob01-err-rate-0-3,mprime,bfs,5,0,,False,,,,,,,,,,,,,"{'error_type': 'MemoryError', 'error_message': ""Command '['/home/projects/u7899572/conda-envs/main/bin/python3', 'instance_solver.py', 'bfs', '/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1', '/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/mprime__pprob01-err-rate-0-3.yaml', '1000000', 'mprime__pprob01-err-rate-0-3', '0.66', 'unary']' died with <Signals.SIGABRT: 6>."", 'stack_trace': 'Traceback (most recent call last):\n  File ""batch_solver.py"", line 126, in worker\n    result = subprocess.run(cmd, check=True, timeout=params[\'timeout_seconds\'],\n  File ""/home/projects/u7899572/conda-envs/main/lib/python3.8/subprocess.py"", line 516, in run\n    raise CalledProcessError(retcode, process.args,\nsubprocess.CalledProcessError: Command \'[\'/home/projects/u7899572/conda-envs/main/bin/python3\', \'instance_solver.py\', \'bfs\', \'/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1\', \'/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/mprime__pprob01-err-rate-0-3.yaml\', \'1000000\', \'mprime__pprob01-err-rate-0-3\', \'0.66\', \'unary\']\' died with <Signals.SIGABRT: 6>.\n', 'instance_id': 'mprime__pprob01-err-rate-0-3', 'process_info': {'cmd': ['/home/projects/u7899572/conda-envs/main/bin/python3', 'instance_solver.py', 'bfs', '/home/remote/u7899572/lifted-white-plan-domain-repair/input/benchmarks-G1', '/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/mprime__pprob01-err-rate-0-3.yaml', '1000000', 'mprime__pprob01-err-rate-0-3', '0.66', 'unary'], 'duration': '821.92', 'python_executable': '/home/projects/u7899572/conda-envs/main/bin/python3'}, 'stdout': '', 'stderr': ""terminate called after throwing an instance of 'Minisat22::OutOfMemoryException'\n""}",memory,0.66,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_debug/bfs exhast lp066/satellite__pp02-pfile2-err-rate-0-1.yaml,satellite__pp02-pfile2-err-rate-0-1,satellite,bfs,13,0,,False,,,,,,,,,,,,,Subprocess timed out after 900 seconds.,time,0.66,
